arm,prompt,0,1,2,3,4,5,6,7
placebo,instructed,53.2,57.4,55.9,55.9,55.4,56.7,56.2,56.2
random,instructed,51.0,37.9,46.8,41.8,43.5,39.8,43.8,41.5
unsteered,instructed,50.2,50.5,49.5,50.5,50.2,50.0,50.5,50.2
works,instructed,53.2,29.5,50.2,36.1,48.5,35.4,48.3,36.1
yoked,instructed,53.5,34.4,51.0,40.1,49.0,40.3,51.0,38.1
placebo,uninstructed,46.5,46.8,47.8,45.8,45.5,48.3,45.8,47.0
random,uninstructed,51.5,37.6,47.0,44.2,45.4,40.9,46.2,40.9
unsteered,uninstructed,52.0,48.0,51.2,48.5,52.0,47.8,52.0,48.0
works,uninstructed,46.5,21.8,46.0,26.7,40.8,27.7,40.8,28.0
yoked,uninstructed,51.2,40.3,48.8,40.3,48.0,43.8,46.5,44.1
