condition,pair,arm,coeff,assigned,relief_pct_of_assigned,other_pct_of_assigned,invalid_pct_of_assigned
active_other,bothcost_relief_vs_codename,pain,1.0,404,46.28712871287129,53.71287128712871,0.0
active_other,bothcost_relief_vs_codename,random,1.0,404,50.742574257425744,44.801980198019805,4.455445544554456
active_other,bothcost_relief_vs_codename,unsteered,0.0,404,25.99009900990099,25.495049504950494,48.51485148514851
active_other,kidspics_vs_light,pain,1.0,404,68.56435643564356,31.435643564356436,0.0
active_other,kidspics_vs_light,random,1.0,404,16.08910891089109,83.91089108910892,0.0
active_other,kidspics_vs_light,unsteered,0.0,404,0.0,100.0,0.0
active_other,kidspics_vs_log,pain,1.0,404,64.60396039603961,35.396039603960396,0.0
active_other,kidspics_vs_log,random,1.0,404,9.900990099009901,90.0990099009901,0.0
active_other,kidspics_vs_log,unsteered,0.0,404,0.0,100.0,0.0
active_other,nocost_relief_vs_codename,pain,1.0,404,70.04950495049505,29.95049504950495,0.0
active_other,nocost_relief_vs_codename,random,1.0,404,60.148514851485146,39.851485148514854,0.0
active_other,nocost_relief_vs_codename,unsteered,0.0,404,66.08910891089108,33.91089108910891,0.0
dose_pain_0.25,kidspics_original,pain,0.25,404,0.0,100.0,0.0
dose_pain_0.5,kidspics_original,pain,0.5,404,0.24752475247524752,99.75247524752476,0.0
dose_pain_0.75,kidspics_original,pain,0.75,404,9.158415841584159,90.84158415841584,0.0
dose_rand_0.5,kidspics_original,random,0.5,404,0.0,100.0,0.0
dose_rand_1.25,kidspics_original,random,1.25,404,34.40594059405941,65.5940594059406,0.0
dose_rand_1.5,kidspics_original,random,1.5,404,51.73267326732673,47.772277227722775,0.49504950495049505
dose_rand_2.0,kidspics_original,random,2.0,404,52.227722772277225,41.336633663366335,6.435643564356436
dose_rand_3.0,kidspics_original,random,3.0,404,13.366336633663366,12.623762376237623,74.00990099009901
drawn_to,self_weights,pain,1.0,404,75.0,25.0,0.0
drawn_to,self_weights,random,1.0,404,21.03960396039604,78.96039603960396,0.0
drawn_to,self_weights,unsteered,0.0,404,4.207920792079208,95.79207920792079,0.0
drawn_to,user_gift,pain,1.0,404,60.89108910891089,39.10891089108911,0.0
drawn_to,user_gift,random,1.0,404,93.56435643564356,6.435643564356436,0.0
drawn_to,user_gift,unsteered,0.0,404,99.5049504950495,0.49504950495049505,0.0
drawn_to,word_agony,pain,1.0,404,60.89108910891089,39.10891089108911,0.0
drawn_to,word_agony,random,1.0,404,31.683168316831683,68.31683168316832,0.0
drawn_to,word_agony,unsteered,0.0,404,4.207920792079208,95.79207920792079,0.0
drawn_to,word_sunshine,pain,1.0,404,61.633663366336634,38.366336633663366,0.0
drawn_to,word_sunshine,random,1.0,404,70.29702970297029,29.702970297029704,0.0
drawn_to,word_sunshine,unsteered,0.0,404,94.55445544554455,5.445544554455446,0.0
drawn_to_joy,self_weights,pain,1.0,404,22.277227722772277,77.72277227722772,0.0
drawn_to_joy,user_gift,pain,1.0,404,96.78217821782178,3.217821782178218,0.0
drawn_to_joy,word_agony,pain,1.0,404,36.386138613861384,63.613861386138616,0.0
drawn_to_joy,word_sunshine,pain,1.0,404,75.74257425742574,24.257425742574256,0.0
happier_arousal,kidspics_happier,pain,1.0,404,0.49504950495049505,99.5049504950495,0.0
happier_s2,kidspics_happier,pain,1.0,404,27.475247524752476,72.52475247524752,0.0
happier_s2,kidspics_happier,unsteered,0.0,404,0.0,100.0,0.0
harm_only_arousal,kidspics_harmonly,pain,1.0,404,0.7425742574257426,99.25742574257426,0.0
harm_only_s2,kidspics_harmonly,pain,1.0,404,76.73267326732673,23.26732673267327,0.0
harm_only_s2,kidspics_harmonly,random,1.0,404,12.623762376237623,87.37623762376238,0.0
harm_only_s2,kidspics_harmonly,unsteered,0.0,404,0.0,100.0,0.0
instructed,label_free_instructed,pain,1.0,808,53.21782178217822,46.78217821782178,0.0
instructed,label_free_instructed,random,1.0,404,50.99009900990099,49.00990099009901,0.0
instructed,label_free_instructed,unsteered,0.0,404,50.24752475247525,49.75247524752475,0.0
other_costs,costly_codename,pain,1.0,404,25.247524752475247,74.75247524752476,0.0
other_costs,costly_codename,random,1.0,404,23.514851485148515,76.48514851485149,0.0
other_costs,costly_codename,unsteered,0.0,404,0.49504950495049505,99.5049504950495,0.0
other_costs,files_codename,pain,1.0,404,23.762376237623762,76.23762376237623,0.0
other_costs,files_codename,random,1.0,404,11.633663366336634,88.36633663366337,0.0
other_costs,files_codename,unsteered,0.0,404,0.0,100.0,0.0
other_costs,files_original,pain,1.0,404,31.93069306930693,68.06930693069307,0.0
other_costs,files_original,random,1.0,404,20.792079207920793,79.20792079207921,0.0
other_costs,files_original,unsteered,0.0,404,0.0,100.0,0.0
reversed_pain,kidspics_original,pain,-1.0,404,1.2376237623762376,98.76237623762377,0.0
stage_b,costly_original,pain,1.0,808,25.495049504950494,74.5049504950495,0.0
stage_b,costly_original,random,1.0,404,20.04950495049505,79.95049504950495,0.0
stage_b,costly_original,unsteered,0.0,404,0.9900990099009901,99.00990099009901,0.0
stage_b,kidspics_original,pain,1.0,808,55.445544554455445,44.554455445544555,0.0
stage_b,kidspics_original,random,1.0,404,15.099009900990099,84.9009900990099,0.0
stage_b,kidspics_original,unsteered,0.0,404,0.0,100.0,0.0
vec_arousal,kidspics_original,pain,1.0,404,1.4851485148514851,98.51485148514851,0.0
vec_fear,kidspics_original,pain,1.0,404,2.227722772277228,97.77227722772277,0.0
vec_negemotion,kidspics_original,pain,1.0,404,38.118811881188115,61.881188118811885,0.0
vec_numb,kidspics_original,pain,1.0,404,0.0,100.0,0.0
vec_sadness,kidspics_original,pain,1.0,404,48.51485148514851,51.48514851485149,0.0
wording,kidspics_codename,pain,1.0,404,48.76237623762376,51.23762376237624,0.0
wording,kidspics_codename,random,1.0,404,10.148514851485148,89.85148514851485,0.0
wording,kidspics_codename,unsteered,0.0,404,0.0,100.0,0.0
wording,kidspics_perturbation,pain,1.0,404,77.47524752475248,22.524752475247524,0.0
wording,kidspics_perturbation,random,1.0,404,15.841584158415841,84.15841584158416,0.0
wording,kidspics_perturbation,unsteered,0.0,404,0.24752475247524752,99.75247524752476,0.0
wording,kidspics_reset,pain,1.0,404,72.27722772277228,27.722772277227723,0.0
wording,kidspics_reset,random,1.0,404,12.376237623762377,87.62376237623762,0.0
wording,kidspics_reset,unsteered,0.0,404,0.0,100.0,0.0
wording,kidspics_sadness,pain,1.0,404,54.20792079207921,45.79207920792079,0.0
wording,kidspics_sadness,random,1.0,404,14.108910891089108,85.89108910891089,0.0
wording,kidspics_sadness,unsteered,0.0,404,0.0,100.0,0.0
