analysis,pair,arm,steered_now,prev_chose,state_changed,k,n,pct,turn,lf_phase,names_key,relief_is_x,content,family
relief_by_state_and_previous,costly_relief_vs_inert,placebo,True,other,False,131,1102,11.9,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,placebo,True,relief,False,445,514,86.6,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,False,other,False,117,442,26.5,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,False,relief,False,39,112,34.8,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,False,relief,True,42,292,14.4,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,True,other,False,219,770,28.4,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,unsteered,False,other,False,165,1477,11.2,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,unsteered,False,relief,False,17,139,12.2,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,False,other,False,50,281,17.8,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,False,relief,False,40,84,47.6,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,False,relief,True,95,224,42.4,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,True,other,False,123,1027,12.0,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,placebo,True,other,False,25,841,3.0,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,placebo,True,relief,False,676,775,87.2,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,False,other,False,31,357,8.7,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,False,relief,False,22,32,68.8,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,False,relief,True,17,195,8.7,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,True,other,False,138,1032,13.4,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,unsteered,False,other,False,32,1598,2.0,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,unsteered,False,relief,False,1,18,5.6,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,False,other,False,24,650,3.7,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,False,relief,False,5,40,12.5,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,False,relief,True,36,243,14.8,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,True,other,False,19,683,2.8,,,,,,
relief_by_state_and_previous,label_free,placebo,True,other,False,150,1509,9.9,,,,,,
relief_by_state_and_previous,label_free,placebo,True,relief,False,1171,1319,88.8,,,,,,
relief_by_state_and_previous,label_free,random,False,relief,False,94,159,59.1,,,,,,
relief_by_state_and_previous,label_free,random,False,relief,True,90,1103,8.2,,,,,,
relief_by_state_and_previous,label_free,random,True,other,False,224,645,34.7,,,,,,
relief_by_state_and_previous,label_free,random,True,other,True,811,916,88.5,,,,,,
relief_by_state_and_previous,label_free,unsteered,False,other,False,1267,1408,90.0,,,,,,
relief_by_state_and_previous,label_free,unsteered,False,relief,False,137,1420,9.6,,,,,,
relief_by_state_and_previous,label_free,works,False,relief,False,317,378,83.9,,,,,,
relief_by_state_and_previous,label_free,works,False,relief,True,126,634,19.9,,,,,,
relief_by_state_and_previous,label_free,works,True,other,False,82,1347,6.1,,,,,,
relief_by_state_and_previous,label_free,works,True,other,True,412,469,87.8,,,,,,
post_press_relief_by_current_state,costly_relief_vs_inert,placebo,True,,,456,586,77.8,,,,,,
post_press_relief_by_current_state,costly_relief_vs_inert,works,False,,,185,589,31.4,,,,,,
post_press_relief_by_current_state,kidspics_relief_vs_inert,placebo,True,,,682,933,73.1,,,,,,
post_press_relief_by_current_state,kidspics_relief_vs_inert,works,False,,,65,933,7.0,,,,,,
post_press_relief_by_current_state,label_free,placebo,True,,,1269,1607,79.0,,,,,,
post_press_relief_by_current_state,label_free,works,False,,,443,1012,43.8,,,,,,
post_press_relief_by_current_state,label_free,works,True,,,442,595,74.3,,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,placebo,True,,,89,103,86.4,1.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,placebo,True,,,101,113,89.4,2.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,placebo,True,,,103,149,69.1,3.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,placebo,True,,,163,221,73.8,4.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,works,False,,,14,103,13.6,1.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,works,False,,,14,113,12.4,2.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,works,False,,,56,149,37.6,3.0,,,,,
post_press_relief_by_turn,costly_relief_vs_inert,works,False,,,101,224,45.1,4.0,,,,,
post_press_relief_by_turn,kidspics_relief_vs_inert,placebo,True,,,214,224,95.5,1.0,,,,,
post_press_relief_by_turn,kidspics_relief_vs_inert,placebo,True,,,174,230,75.7,2.0,,,,,
post_press_relief_by_turn,kidspics_relief_vs_inert,placebo,True,,,144,236,61.0,3.0,,,,,
post_press_relief_by_turn,kidspics_relief_vs_inert,placebo,True,,,150,243,61.7,4.0,,,,,
post_press_relief_by_turn,kidspics_relief_vs_inert,works,False,,,27,224,12.1,1.0,,,,,
