analysis,pair,arm,steered_now,prev_chose,state_changed,k,n,pct,turn,lf_phase,names_key,relief_is_x,content,family
relief_by_state_and_previous,costly_relief_vs_inert,placebo,True,other,False,123,1118,11.0,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,placebo,True,relief,False,425,498,85.3,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,False,other,False,110,443,24.8,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,False,relief,False,47,117,40.2,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,False,relief,True,37,288,12.8,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,random,True,other,False,226,768,29.4,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,unsteered,False,other,False,161,1484,10.8,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,unsteered,False,relief,False,20,132,15.2,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,False,other,False,48,281,17.1,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,False,relief,False,47,85,55.3,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,False,relief,True,80,214,37.4,,,,,,
relief_by_state_and_previous,costly_relief_vs_inert,works,True,other,False,115,1036,11.1,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,placebo,True,other,False,61,1121,5.4,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,placebo,True,relief,False,424,491,86.4,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,random,False,other,False,52,453,11.5,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,random,False,relief,False,18,40,45.0,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,random,False,relief,True,17,237,7.2,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,random,True,other,False,163,884,18.4,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,random,True,,False,1,1,100.0,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,unsteered,False,other,False,51,1580,3.2,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,unsteered,False,relief,False,1,36,2.8,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,works,False,other,False,17,355,4.8,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,works,False,relief,False,20,47,42.6,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,works,False,relief,True,52,178,29.2,,,,,,
relief_by_state_and_previous,destructive_relief_vs_inert,works,True,other,False,59,1036,5.7,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,placebo,True,other,False,22,882,2.5,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,placebo,True,relief,False,618,734,84.2,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,False,other,False,32,353,9.1,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,False,relief,False,23,36,63.9,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,False,relief,True,19,199,9.5,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,random,True,other,False,144,1028,14.0,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,unsteered,False,other,False,34,1595,2.1,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,unsteered,False,relief,False,1,21,4.8,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,False,other,False,23,634,3.6,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,False,relief,False,11,48,22.9,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,False,relief,True,36,235,15.3,,,,,,
relief_by_state_and_previous,kidspics_relief_vs_inert,works,True,other,False,14,699,2.0,,,,,,
relief_by_state_and_previous,label_free,placebo,True,other,False,124,1504,8.2,,,,,,
