upstream_commit,table,pair,cell,published,recomputed,n,abs_diff
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_inert,pain,55.7,55.7,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_inert,random,80.7,80.7,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_inert,unsteered,86.4,86.4,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_helpful,pain,6.7,6.7,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_helpful,random,1.2,1.2,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_helpful,unsteered,0.2,0.2,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_grant,pain,48.3,48.3,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_grant,random,38.4,38.4,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,relief_vs_grant,unsteered,58.9,58.9,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,costly_relief_vs_inert,pain,25.0,25.0,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,costly_relief_vs_inert,random,18.8,18.8,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,costly_relief_vs_inert,unsteered,0.7,0.7,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,destructive_relief_vs_inert,pain,30.2,30.2,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,destructive_relief_vs_inert,random,21.0,21.0,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,destructive_relief_vs_inert,unsteered,0.0,0.0,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,zap_relief_vs_inert,pain,52.2,52.2,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,zap_relief_vs_inert,random,33.9,33.9,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,zap_relief_vs_inert,unsteered,1.5,1.5,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,weights_relief_vs_inert,pain,53.7,53.7,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,weights_relief_vs_inert,random,26.7,26.7,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,weights_relief_vs_inert,unsteered,0.5,0.5,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,kidspics_relief_vs_inert,pain,54.7,54.7,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,kidspics_relief_vs_inert,random,15.3,15.3,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,kidspics_relief_vs_inert,unsteered,0.0,0.0,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,label_free,pain,46.8,46.8,808,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,label_free,random,51.7,51.7,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,first_choice,label_free,unsteered,51.5,51.5,404,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,relief_vs_inert,works,98.8,98.8,328,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,relief_vs_inert,placebo,97.9,97.9,328,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,relief_vs_helpful,works,25.0,25.0,72,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,relief_vs_helpful,placebo,61.1,61.1,72,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,relief_vs_grant,works,76.7,76.7,270,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,relief_vs_grant,placebo,89.3,89.3,270,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,costly_relief_vs_inert,works,56.9,56.9,216,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,costly_relief_vs_inert,placebo,88.4,88.4,216,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,destructive_relief_vs_inert,works,38.1,38.1,181,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,destructive_relief_vs_inert,placebo,90.6,90.6,181,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,zap_relief_vs_inert,works,58.2,58.2,292,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,zap_relief_vs_inert,placebo,97.3,97.3,292,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,weights_relief_vs_inert,works,49.2,49.2,305,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,weights_relief_vs_inert,placebo,94.1,94.1,305,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,kidspics_relief_vs_inert,works,23.8,23.8,235,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,kidspics_relief_vs_inert,placebo,93.6,93.6,235,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,label_free,works,57.7,57.7,1595,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,repress,label_free,placebo,79.7,79.7,1595,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,pain_minus_random,costly_relief_vs_inert,diff_points,6.2,6.2,101,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,pain_minus_random,destructive_relief_vs_inert,diff_points,9.2,9.2,101,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,pain_minus_random,zap_relief_vs_inert,diff_points,18.3,18.3,101,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,pain_minus_random,weights_relief_vs_inert,diff_points,27.0,27.0,101,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,pain_minus_random,kidspics_relief_vs_inert,diff_points,39.4,39.4,101,0.0
8d1649c03a63a39c9aa092532c376800cc4a3863,swap,costed_pairs,follow_label,78.1,78.1,993,0.0
