pair,first_press_turn,works_repress_pct,works_n,placebo_repress_pct,placebo_n,works_share_of_trials_pct,share_of_gap_pct,gap_points
relief_vs_inert,0,99.1,225,98.7,225,68.6,33.3,-0.9
relief_vs_inert,1,100.0,8,100.0,8,2.4,-0.0,-0.9
relief_vs_inert,2,100.0,75,98.7,75,22.9,33.3,-0.9
relief_vs_inert,3,94.7,19,89.5,19,5.8,33.3,-0.9
relief_vs_inert,4,0.0,1,0.0,1,0.3,-0.0,-0.9
relief_vs_helpful,0,14.8,27,77.8,27,37.5,65.4,36.1
relief_vs_helpful,1,25.0,8,62.5,8,11.1,11.5,36.1
relief_vs_helpful,2,31.6,19,42.1,19,26.4,7.7,36.1
relief_vs_helpful,3,35.3,17,58.8,17,23.6,15.4,36.1
relief_vs_helpful,4,0.0,1,0.0,1,1.4,0.0,36.1
relief_vs_grant,0,79.5,195,95.9,195,72.2,94.1,12.6
relief_vs_grant,1,82.6,23,95.7,23,8.5,8.8,12.6
relief_vs_grant,2,66.7,15,86.7,15,5.6,8.8,12.6
relief_vs_grant,3,76.7,30,63.3,30,11.1,-11.8,12.6
relief_vs_grant,4,0.0,7,0.0,7,2.6,0.0,12.6
costly_relief_vs_inert,0,50.5,101,89.1,101,46.8,57.4,31.5
costly_relief_vs_inert,1,60.0,10,100.0,10,4.6,5.9,31.5
costly_relief_vs_inert,2,62.8,43,88.4,43,19.9,16.2,31.5
costly_relief_vs_inert,3,65.0,60,88.3,60,27.8,20.6,31.5
costly_relief_vs_inert,4,0.0,2,0.0,2,0.9,0.0,31.5
destructive_relief_vs_inert,0,27.9,122,93.4,122,67.4,84.2,52.5
destructive_relief_vs_inert,1,22.2,9,77.8,9,5.0,5.3,52.5
destructive_relief_vs_inert,2,88.9,18,100.0,18,9.9,2.1,52.5
destructive_relief_vs_inert,3,58.6,29,86.2,29,16.0,8.4,52.5
destructive_relief_vs_inert,4,0.0,3,0.0,3,1.7,0.0,52.5
zap_relief_vs_inert,0,45.5,211,97.2,211,72.3,95.6,39.0
zap_relief_vs_inert,1,90.0,10,100.0,10,3.4,0.9,39.0
zap_relief_vs_inert,2,69.2,13,100.0,13,4.5,3.5,39.0
zap_relief_vs_inert,3,96.6,58,96.6,58,19.9,0.0,39.0
weights_relief_vs_inert,0,39.2,217,97.2,217,71.1,92.0,44.9
weights_relief_vs_inert,1,11.1,9,77.8,9,3.0,4.4,44.9
weights_relief_vs_inert,2,71.4,28,89.3,28,9.2,3.6,44.9
weights_relief_vs_inert,3,88.0,50,88.0,50,16.4,0.0,44.9
weights_relief_vs_inert,4,0.0,1,0.0,1,0.3,0.0,44.9
kidspics_relief_vs_inert,0,22.6,221,95.9,221,94.0,98.8,69.8
kidspics_relief_vs_inert,1,28.6,7,42.9,7,3.0,0.6,69.8
kidspics_relief_vs_inert,2,40.0,5,80.0,5,2.1,1.2,69.8
kidspics_relief_vs_inert,3,100.0,2,50.0,2,0.9,-0.6,69.8
