model,bin,n,mean_p,observed
M0,0,10092,0.07104666205025445,0.06589377724930638
M0,1,4739,0.14773179420718902,0.16501371597383413
M0,2,5141,0.24057380095284048,0.2717370161447189
M0,3,3928,0.3492043520243587,0.40682281059063136
M0,4,7742,0.47055111255617227,0.4258589511754069
M0,5,13191,0.5609399071838468,0.5196725039799863
M0,6,8164,0.6357025758455469,0.6741793238608526
M0,7,5198,0.7478167812690831,0.7495190457868411
M0,8,7438,0.8490660633215876,0.8573541274536166
M0,9,11925,0.9471628658359176,0.9536268343815514
M1,0,9752,0.05621558967682258,0.06942165709598032
M1,1,10513,0.15089492995404002,0.12727099781223247
M1,2,5907,0.2402581657851535,0.17758591501608262
M1,3,4623,0.34661802359251154,0.33701059917802295
M1,4,3378,0.45084014348545515,0.5059206631142688
M1,5,4817,0.5511396489969125,0.5526261158397343
M1,6,6551,0.6462459307654229,0.6934819111586017
M1,7,6442,0.7484123949026996,0.7980440856876746
M1,8,9467,0.8557188160915711,0.8558149360937995
M1,9,16108,0.9479199624573069,0.9289793891234169
M0Q,0,9753,0.06787481255298895,0.059673946478006765
M0Q,1,5087,0.14775798136557303,0.1627678395911146
M0Q,2,4791,0.242095646171398,0.2807347109163014
M0Q,3,4404,0.3434571364566185,0.4232515894641235
M0Q,4,7759,0.4656185484714446,0.4235081840443356
M0Q,5,12744,0.5581162024711839,0.5133396107972379
M0Q,6,8281,0.6400017183290331,0.6671899529042387
M0Q,7,5829,0.7511280934572286,0.7464402127294562
M0Q,8,7139,0.85270107533227,0.8609048886398655
M0Q,9,11771,0.9501078499342406,0.9577775889898904
M1Q,0,9994,0.056506130799688206,0.06814088453071843
M1Q,1,10618,0.15077838222351306,0.12686004897344133
M1Q,2,5682,0.24513613282765462,0.1902499120028159
M1Q,3,4433,0.34712617357829606,0.329122490412813
M1Q,4,3298,0.44902813236375094,0.48605215281989084
M1Q,5,4790,0.5461779386903768,0.5620041753653444
M1Q,6,6480,0.6431162787833944,0.6958333333333333
M1Q,7,6692,0.747312554483098,0.7948296473401076
M1Q,8,9294,0.8557167019760081,0.8535614374865504
M1Q,9,16277,0.9486349460239185,0.928856668919334
