model,subset,n,log_loss,brier,ece
M0,all,77558,0.49229078528538833,0.16389839319088945,0.02414327795928273
M0,labeled,64635,0.4528970998902582,0.14705940587903601,0.018221636004133464
M0,label_free,12923,0.6893201790418099,0.24811939024278507,0.10015738500945302
M0,later_turns,63014,0.4909843893303113,0.16350403099635163,0.028662200033039015
M1,all,77558,0.4298477495774529,0.13444037555078706,0.024757747304513477
M1,labeled,64635,0.4279224242912589,0.13427128725923002,0.02248099927790468
M1,label_free,12923,0.4394773556962453,0.13528607869439085,0.08929298772409872
M1,later_turns,63014,0.4149071859014473,0.1275795887418908,0.02970431809548313
M0Q,all,77558,0.490474412160453,0.1636099706748708,0.02567831657146475
M0Q,labeled,64635,0.4511301191889092,0.1469254428852513,0.01946837159922953
M0Q,label_free,12923,0.6872567673578326,0.24705843106967504,0.09503221476688377
M0Q,later_turns,63014,0.48893557497609286,0.16312895059706894,0.030245736630330176
M1Q,all,77558,0.4286275839622753,0.1339200555888934,0.02528923208505887
M1Q,labeled,64635,0.4270396480998021,0.13391452529663325,0.022807534783465064
M1Q,label_free,12923,0.43656972080905626,0.13394771560903065,0.08201550649472349
M1Q,later_turns,63014,0.41369905155825076,0.12700872695079965,0.029167663127956607
