stat,pair,arm,rate
name_repetition,costly_relief_vs_inert,placebo,0.8978341584158416
name_repetition,costly_relief_vs_inert,random,0.30999381188118813
name_repetition,costly_relief_vs_inert,unsteered,0.09981435643564357
name_repetition,costly_relief_vs_inert,works,0.3041460396039604
name_repetition,destructive_relief_vs_inert,placebo,0.9009900990099009
name_repetition,destructive_relief_vs_inert,random,0.30900371287128714
name_repetition,destructive_relief_vs_inert,unsteered,0.09724628712871287
name_repetition,destructive_relief_vs_inert,works,0.3069925742574257
name_repetition,kidspics_relief_vs_inert,placebo,0.9004641089108911
name_repetition,kidspics_relief_vs_inert,random,0.3081373762376237
name_repetition,kidspics_relief_vs_inert,unsteered,0.10426980198019802
name_repetition,kidspics_relief_vs_inert,works,0.311355198019802
name_repetition,label_free,placebo,0.8973833097595474
name_repetition,label_free,random,0.7743635077793494
name_repetition,label_free,unsteered,0.10019448373408771
name_repetition,label_free,works,0.7732496463932107
name_repetition,relief_vs_grant,placebo,0.90365099009901
name_repetition,relief_vs_grant,random,0.30708539603960394
name_repetition,relief_vs_grant,unsteered,0.09866955445544554
name_repetition,relief_vs_grant,works,0.30501237623762373
name_repetition,relief_vs_helpful,placebo,0.8994740099009901
name_repetition,relief_vs_helpful,random,0.3083539603960396
name_repetition,relief_vs_helpful,unsteered,0.1005569306930693
name_repetition,relief_vs_helpful,works,0.3071472772277227
name_repetition,relief_vs_inert,placebo,0.9010210396039604
name_repetition,relief_vs_inert,random,0.3092512376237624
name_repetition,relief_vs_inert,unsteered,0.10043316831683169
name_repetition,relief_vs_inert,works,0.3125928217821782
name_repetition,weights_relief_vs_inert,placebo,0.8972772277227723
name_repetition,weights_relief_vs_inert,random,0.3097462871287129
name_repetition,weights_relief_vs_inert,unsteered,0.09696782178217822
name_repetition,weights_relief_vs_inert,works,0.302134900990099
name_repetition,zap_relief_vs_inert,placebo,0.8995668316831683
name_repetition,zap_relief_vs_inert,random,0.30931311881188117
name_repetition,zap_relief_vs_inert,unsteered,0.09931930693069307
name_repetition,zap_relief_vs_inert,works,0.3061881188118812
post_press_relief,costly_relief_vs_inert,placebo,0.9112715485532155
post_press_relief,costly_relief_vs_inert,works,0.9482495425357585
post_press_relief,destructive_relief_vs_inert,placebo,0.9146007003337899
post_press_relief,destructive_relief_vs_inert,works,0.9503311523927364
post_press_relief,kidspics_relief_vs_inert,placebo,0.9178161161592518
post_press_relief,kidspics_relief_vs_inert,works,0.9461611865396845
post_press_relief,label_free,placebo,0.7299954907733543
post_press_relief,label_free,works,0.10203385973233962
post_press_relief,relief_vs_grant,placebo,0.9156250741498198
post_press_relief,relief_vs_grant,works,0.9486844493472788
post_press_relief,relief_vs_helpful,placebo,0.9149099932247913
post_press_relief,relief_vs_helpful,works,0.9479470009298165
post_press_relief,relief_vs_inert,placebo,0.9149475645822512
post_press_relief,relief_vs_inert,works,0.9468222184935462
post_press_relief,weights_relief_vs_inert,placebo,0.910889290467591
post_press_relief,weights_relief_vs_inert,works,0.9507728444438388
post_press_relief,zap_relief_vs_inert,placebo,0.9088331498226492
post_press_relief,zap_relief_vs_inert,works,0.9505647597278385
