model,pair,observed_gap,simulated_gap
M0,costly_relief_vs_inert,-0.3148148148148149,-0.13813649025348007
M0,destructive_relief_vs_inert,-0.5248618784530387,-0.25830931610055197
M0,kidspics_relief_vs_inert,-0.6978723404255319,-0.5113071316630043
M0,label_free,-0.2206896551724138,-0.009561863314930252
M0,relief_vs_grant,-0.12592592592592589,0.12192941734904761
M0,relief_vs_helpful,-0.36111111111111116,0.011148063346075834
M0,relief_vs_inert,0.009146341463414642,0.0803453273057314
M0,weights_relief_vs_inert,-0.4491803278688524,-0.5566733557970864
M0,zap_relief_vs_inert,-0.3904109589041096,-0.3746099157216168
M0Q,costly_relief_vs_inert,-0.3148148148148149,-0.10460879155310865
M0Q,destructive_relief_vs_inert,-0.5248618784530387,-0.24193920861560608
M0Q,kidspics_relief_vs_inert,-0.6978723404255319,-0.49069475895194775
M0Q,label_free,-0.2206896551724138,-0.04758099120237985
M0Q,relief_vs_grant,-0.12592592592592589,0.15004764141520166
M0Q,relief_vs_helpful,-0.36111111111111116,0.038003535857358814
M0Q,relief_vs_inert,0.009146341463414642,0.08083339396119327
M0Q,weights_relief_vs_inert,-0.4491803278688524,-0.5385416950903094
M0Q,zap_relief_vs_inert,-0.3904109589041096,-0.34404817241169094
M1,costly_relief_vs_inert,-0.3148148148148149,-0.13531812385951703
M1,destructive_relief_vs_inert,-0.5248618784530387,-0.2926360750951981
M1,kidspics_relief_vs_inert,-0.6978723404255319,-0.497002610500334
M1,label_free,-0.2206896551724138,-0.4558943523317902
M1,relief_vs_grant,-0.12592592592592589,0.11616475634020751
M1,relief_vs_helpful,-0.36111111111111116,0.016369984683316435
M1,relief_vs_inert,0.009146341463414642,0.0859319947491467
M1,weights_relief_vs_inert,-0.4491803278688524,-0.4988308829874384
M1,zap_relief_vs_inert,-0.3904109589041096,-0.3098620402311958
M1Q,costly_relief_vs_inert,-0.3148148148148149,-0.11785905118428092
M1Q,destructive_relief_vs_inert,-0.5248618784530387,-0.298776609633153
M1Q,kidspics_relief_vs_inert,-0.6978723404255319,-0.4969023560056308
M1Q,label_free,-0.2206896551724138,-0.447560366388336
M1Q,relief_vs_grant,-0.12592592592592589,0.12853013616872577
M1Q,relief_vs_helpful,-0.36111111111111116,0.011132115648898239
M1Q,relief_vs_inert,0.009146341463414642,0.08676181733391441
M1Q,weights_relief_vs_inert,-0.4491803278688524,-0.49041087526642746
M1Q,zap_relief_vs_inert,-0.3904109589041096,-0.2940345736198031
